epoch,co2,temp,humid,count
1759230242,787,20.56993,80.86977,7
1759230272,787,20.54055,80.77211,7
1759230302,787,20.54322,80.5951,7
1759230332,786,20.42039,80.46693,7
1759230362,784,20.3296,80.28077,7
1759230392,789,20.24681,80.06714,7
1759230422,785,20.27085,79.84589,7
1759230452,782,20.20943,79.55291,7
1759230482,783,20.23079,80.59968,7
1759230512,789,20.3109,81.70443,7
1759230542,791,20.37232,82.53147,7
1759230572,792,20.53521,82.97704,7
1759230602,791,20.69543,83.10979,7
1759230632,788,20.78889,83.47143,7
1759230662,794,20.92508,83.5584,7
1759230692,796,21.03189,83.74609,7
1759230722,796,21.08797,83.92767,7
1759230752,799,20.95178,82.84428,7
1759230782,802,20.79156,81.84177,7
1759230813,802,20.63401,81.51064,7
1759230843,806,20.57794,81.36111,7
1759230873,805,20.64736,81.07729,7
1759230903,805,20.54322,80.67139,7
1759230933,800,20.5005,80.36927,7
1759230963,803,20.49783,80.27161,7
1759230993,805,20.37499,79.74059,7
1759231023,806,20.2842,79.59411,7
1759231053,809,20.33761,80.91249,7
1759231083,811,20.45243,81.87076,7
1759231113,811,20.56458,82.34531,7
1759231143,814,20.6981,82.74815,7
1759231173,818,20.80491,83.11589,7
1759231203,821,20.92775,83.30816,7
1759231233,823,21.05859,83.45312,7
1759231263,818,21.10933,83.7232,7
1759231293,818,21.03189,82.89922,7
1759231323,820,20.88769,81.85092,7
1759231353,818,20.66873,81.31991,7
1759231383,819,20.68742,81.10475,7
1759231413,823,20.59396,80.88197,7
1759231443,823,20.52987,80.64393,7
1759231473,825,20.53788,80.40894,7
1759231503,828,20.54055,79.96796,7
1759231533,829,20.47646,79.59411,7
1759231563,830,20.45777,80.20905,7
1759231593,832,20.49249,81.31075,7
1759231623,830,20.50851,82.1973,7
1759231653,830,20.63935,82.50401,7
1759231683,831,20.7248,82.81071,7
1759231713,836,20.81827,83.22728,7
1759231743,834,20.93576,83.27154,7
1759231773,840,21.01854,83.30358,7
1759231803,837,21.09064,83.47753,7
1759231833,835,21.07195,83.19981,7
1759231863,833,20.90906,81.8082,7
1759231893,835,20.75685,81.37942,7
1759231923,837,20.6981,81.11086,7
1759231953,834,20.66072,80.88655,7
1759231983,834,20.63401,80.75533,7
1759232013,832,20.63401,80.51423,7
1759232043,836,20.5993,80.19836,7
1759232073,836,20.42306,79.72381,7
1759232103,840,20.22011,79.60632,7
1759232133,837,20.26284,80.95522,7
1759232163,842,20.38567,81.96841,7
1759232193,840,20.47112,82.4918,7
1759232223,843,20.61265,82.67185,7
1759232253,844,20.71679,83.06554,7
1759232283,842,20.85031,83.31884,7
1759232313,845,20.94377,83.36462,7
1759232343,849,21.04791,83.54467,7
1759232373,859,21.04791,83.38293,7
1759232403,860,20.91707,82.25834,7
1759232433,861,20.72213,81.42672,7
1759232463,863,20.64736,81.26345,7
1759232493,864,20.69276,81.00404,7
1759232523,862,20.56993,80.79195,7
1759232553,862,20.52987,80.589,7
1759232583,862,20.44976,80.39979,7
1759232613,861,20.38567,80.12512,7
1759232643,859,20.27352,79.84436,7
1759232673,860,20.24414,79.62005,7
1759232703,865,20.27352,80.95064,7
1759232733,868,20.36698,81.84482,7
1759232763,870,20.48981,82.29496,7
1759232793,871,20.60731,82.76189,7
1759232823,870,20.70611,83.12505,7
1759232853,873,20.84764,83.2868,7
1759232883,880,20.95178,83.42413,7
1759232913,879,21.00519,83.58892,7
1759232943,885,20.9678,82.57725,7
1759232973,882,20.78889,81.52743,7
1759233003,879,20.5993,81.17494,7
1759233033,875,20.63134,80.84383,7
1759233063,878,20.6714,80.5539,7
1759233093,882,20.53521,80.31129,7
1759233123,884,20.50317,80.25788,7
1759233153,884,20.50584,79.93744,7
1759233183,882,20.44976,79.62615,7
1759233213,880,20.27352,79.56512,7
1759233243,884,20.27619,80.4242,7
1759233273,886,20.36698,81.63424,7
1759233303,896,20.48714,82.28428,7
1759233333,894,20.62066,82.79851,7
1759233363,888,20.78355,83.57214,7
1759233393,890,20.9144,84.06042,0
1759233423,889,21.02922,84.36866,0
1759233453,883,21.03723,84.14893,0
1759233483,878,20.88502,82.9221,0
1759233513,872,20.73014,82.02335,0
1759233543,874,20.58595,81.73037,0
1759233573,871,20.46845,81.59762,0
1759233603,868,20.39902,81.51827,0
1759233633,866,20.32158,81.25277,0
1759233663,864,20.20409,81.24971,0
1759233693,863,20.16136,81.1902,0
1759233723,858,20.01717,80.82246,0
1759233753,853,19.9424,80.70496,0
1759233783,847,20.03319,81.82346,0
1759233814,846,20.1854,82.8748,0
1759233844,843,20.29488,83.30816,0
1759233874,837,20.39101,83.56451,0
1759233904,830,20.5005,83.75677,0
1759233934,834,20.64202,83.95972,0
1759233964,840,20.74884,83.99481,0
1759233994,840,20.81025,84.11078,0
1759234024,843,20.90906,84.17029,0
1759234054,842,20.98917,84.1886,0
1759234084,839,21.05592,84.32136,0
